RightArm,LeftArm,Torso,Mouth
0,0,0,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
