RightArm,LeftArm,Torso,Mouth
0,0,0,0
147,496,326,0
147,496,326,0
147,496,326,0
147,496,326,0
147,496,327,0
147,496,327,0
147,496,327,0
147,496,327,0
147,496,326,0
147,496,326,0
147,496,326,0
147,496,326,0
147,496,327,0
147,496,327,0
147,496,327,0
147,496,327,0
147,496,326,0
147,496,326,0
147,496,326,0
147,496,326,0
147,496,327,0
147,496,327,0
147,496,327,0
147,496,327,0
147,496,332,0
147,496,332,0
147,496,332,0
147,496,332,0
147,496,349,0
147,496,349,0
147,496,349,0
147,496,349,0
147,496,366,0
147,496,366,0
147,496,366,0
147,496,366,0
147,496,381,0
147,496,381,0
147,496,381,0
147,496,381,0
147,496,399,0
147,496,399,0
147,496,399,0
147,496,399,0
147,496,416,0
147,496,416,0
147,496,416,0
147,496,427,0
147,496,427,0
147,496,427,0
147,496,427,0
147,496,427,0
148,496,429,0
148,496,429,0
148,496,429,0
148,496,429,0
147,496,429,0
147,496,429,0
147,496,429,0
147,496,429,0
147,496,428,0
147,496,428,0
147,496,428,0
147,496,428,0
147,496,426,0
147,496,426,0
147,496,426,0
147,496,426,0
148,496,422,0
148,496,422,0
148,496,422,0
148,496,422,0
147,496,404,0
147,496,404,0
147,496,404,0
147,496,404,0
147,497,380,0
147,497,380,0
147,497,380,0
147,497,380,0
147,496,353,0
147,496,353,0
147,496,353,0
147,496,353,0
147,496,331,0
147,496,331,0
147,496,331,0
147,496,331,0
147,497,314,0
147,497,314,0
147,497,314,0
147,497,314,0
147,497,300,0
147,497,300,0
147,497,300,0
147,497,300,0
147,496,291,0
147,496,291,0
147,496,291,0
147,496,291,0
147,497,289,0
147,497,289,0
147,497,289,0
147,497,289,0
147,497,289,0
147,497,289,0
147,497,289,0
147,497,289,0
147,497,291,0
147,497,291,0
147,497,291,0
147,497,291,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
148,497,292,0
148,497,292,0
148,497,292,0
148,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
147,497,292,0
149,497,292,0
149,497,292,0
149,497,292,0
149,497,292,0
151,497,292,0
151,497,292,0
151,497,292,0
151,497,292,0
159,497,291,0
159,497,291,0
159,497,291,0
159,497,291,0
194,497,291,0
194,497,291,0
194,497,291,0
194,497,291,0
242,497,292,0
242,497,292,0
242,497,292,0
242,497,292,0
262,497,292,0
262,497,292,0
262,497,292,0
262,497,292,0
264,497,292,0
264,497,292,0
264,497,292,0
264,497,292,0
262,497,292,0
262,497,292,0
262,497,292,0
262,497,292,0
263,497,292,0
263,497,292,0
263,497,292,0
263,497,292,0
263,497,292,0
263,497,292,0
263,497,292,0
263,497,292,0
268,497,292,0
268,497,292,0
268,497,292,0
268,497,292,0
271,497,292,0
271,497,292,0
271,497,292,0
271,497,292,0
281,496,292,0
281,496,292,0
281,496,292,0
281,496,292,0
296,497,292,0
296,497,292,0
296,497,292,0
296,497,292,0
318,497,292,0
318,497,292,0
318,497,292,0
318,497,292,0
343,496,292,0
343,496,292,0
343,496,292,0
343,496,292,0
366,497,292,0
366,497,292,0
366,497,292,0
366,497,292,0
388,496,291,0
388,496,291,0
388,496,291,0
388,496,291,0
409,496,291,0
409,496,291,0
409,496,291,0
409,496,291,0
430,496,291,0
430,496,291,0
430,496,291,0
430,496,291,0
451,496,291,0
451,496,291,0
451,496,291,0
451,496,291,0
470,496,291,0
470,496,291,0
470,496,291,0
470,496,291,0
482,497,291,0
482,497,291,0
482,497,291,0
482,497,291,0
482,497,291,0
482,497,291,0
482,497,291,0
482,497,291,0
480,496,291,0
480,496,291,0
480,496,291,821
480,496,291,1662
480,496,291,2264
480,496,291,2001
480,496,291,1868
480,496,291,1719
477,497,292,1719
477,497,292,2326
477,497,292,2702
477,497,292,2746
475,497,292,3515
475,497,292,3603
475,497,292,2857
475,497,292,3392
475,497,291,3392
475,497,291,3912
475,497,291,1295
475,497,291,1573
468,497,290,1682
468,497,290,1239
468,497,290,1125
468,497,290,687
447,496,289,740
447,496,289,740
447,496,289,1012
447,496,289,2632
447,496,289,2812
424,496,288,2502
424,496,288,1227
424,496,288,799
424,496,288,1344
407,496,289,1344
407,496,289,1591
407,496,289,2898
407,496,289,3046
406,496,289,3046
406,496,289,3249
406,496,289,3337
406,496,291,2880
406,496,291,2880
406,496,291,2549
406,496,291,2689
406,496,291,2753
406,497,291,2596
406,497,291,1987
406,497,291,2844
406,497,291,3025
406,497,291,1891
406,497,291,2981
406,497,291,2150
406,497,291,2376
406,497,291,2013
406,497,291,2418
406,497,291,2059
406,497,291,1847
406,497,291,2196
406,497,291,2846
406,497,291,2846
406,497,291,2538
406,497,292,1981
406,497,292,2247
406,497,292,2020
406,497,292,1845
406,497,292,2449
406,497,292,2113
406,497,292,2113
406,497,292,1886
406,497,291,2314
406,497,291,2203
406,497,291,1843
406,497,291,2179
406,497,289,2045
406,497,289,2256
406,497,289,1818
406,497,289,1818
406,497,289,2281
406,497,289,2637
406,497,289,2160
406,497,289,2159
406,497,289,2372
406,497,289,2237
406,497,289,2237
406,497,289,1687
405,497,289,2238
405,497,289,1923
405,497,289,2090
405,497,289,1659
396,497,289,2341
396,497,289,2104
396,497,289,1117
396,497,289,1117
378,497,289,666
378,497,289,669
378,497,289,448
378,497,289,378
375,497,289,360
375,497,289,0
375,497,289,0
375,497,289,0
377,497,290,0
377,497,290,0
377,497,290,0
377,497,290,0
374,497,291,0
374,497,291,0
374,497,291,0
374,497,291,0
373,497,291,0
373,497,291,0
373,497,291,0
373,497,291,0
374,497,291,0
374,497,291,0
374,497,291,0
374,497,291,0
373,497,291,0
373,497,291,0
373,497,291,0
373,497,291,0
364,497,292,0
364,497,292,0
364,497,292,0
364,497,292,426
333,497,293,667
333,497,293,734
333,497,293,583
333,497,293,525
267,497,292,922
267,497,292,675
267,497,292,675
267,497,292,819
198,497,290,685
198,497,290,671
198,497,290,703
198,497,290,718
152,497,291,889
152,497,291,850
152,497,291,515
152,497,291,485
130,497,291,422
130,497,291,850
130,497,291,767
130,497,291,873
130,496,289,721
130,496,289,681
130,496,289,752
130,496,289,752
134,497,290,1038
134,497,290,944
134,497,290,893
134,497,290,1026
134,497,292,1248
134,497,292,1334
134,497,292,1558
134,497,292,1217
134,496,292,1467
134,496,292,1922
134,496,292,1688
134,496,292,1688
134,496,292,2251
134,496,292,1617
134,496,292,1679
134,496,292,1475
134,496,292,1581
134,496,292,1820
134,496,292,1661
134,496,292,1731
136,496,291,1731
136,496,291,1187
136,496,291,1380
136,496,291,1361
179,496,290,1627
179,496,290,1939
179,496,290,1920
179,496,290,1297
227,497,291,1308
227,497,291,1308
227,497,291,1615
227,497,291,1590
238,497,291,1469
238,497,291,1127
238,497,291,1459
238,497,291,1549
237,497,292,1476
237,497,292,1177
237,497,292,1001
237,497,292,1001
237,497,292,1533
237,497,292,1382
237,497,292,895
237,497,292,1219
247,497,292,1401
247,497,292,1725
247,497,292,1725
247,497,292,1944
260,497,296,1178
260,497,296,1498
260,497,296,1042
260,497,296,1936
298,497,298,1463
298,497,298,1152
298,497,298,1342
298,497,298,651
358,497,298,651
358,497,298,1575
358,497,298,828
358,497,298,1216
417,497,298,620
417,497,298,328
417,497,298,0
417,497,298,514
471,497,297,514
471,497,297,0
471,497,297,358
471,497,297,0
512,497,297,0
512,497,297,0
512,497,297,0
512,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
517,497,297,0
