RightArm,LeftArm,Torso,Mouth
0,0,0,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,315,0
160,490,330,0
160,490,330,0
160,490,330,0
160,490,330,0
160,490,334,0
160,490,344,0
160,490,355,0
160,490,364,0
160,490,373,0
160,490,382,0
160,490,391,0
160,490,401,0
160,490,418,0
160,490,431,0
160,490,443,0
160,490,453,0
160,490,460,0
160,490,466,0
160,490,470,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,472,0
160,490,471,0
160,490,469,0
160,490,466,0
160,490,460,0
160,490,452,0
160,490,439,0
160,490,434,1
160,490,429,2
160,490,425,2
160,490,421,2
160,490,417,2
160,490,412,3
160,490,407,2
160,490,403,2
160,490,397,2
160,490,391,1
160,490,383,2
160,490,376,2
160,490,367,2
