RightArm,LeftArm,Torso,Mouth
0,0,0,0
140,496,350,0
140,496,350,0
140,496,350,0
140,496,350,0
140,496,350,0
140,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
140,496,350,0
140,496,350,0
140,496,350,0
140,496,350,0
139,496,350,0
139,496,350,0
140,496,350,0
140,496,350,0
139,496,350,0
139,496,350,0
140,496,350,0
140,496,350,0
139,496,350,0
139,496,350,0
139,496,349,0
139,496,349,0
140,496,350,0
140,496,350,0
140,496,350,0
140,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
140,496,350,0
140,496,350,0
139,496,350,0
139,496,350,0
140,496,350,0
140,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
140,496,350,0
140,496,350,0
140,496,350,0
140,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
139,496,350,0
140,496,350,0
140,496,350,0
139,496,349,0
139,496,349,0
139,496,349,0
139,496,349,0
139,496,349,0
139,496,349,0
140,496,349,0
140,496,349,0
139,496,350,0
139,496,350,0
139,496,349,0
139,496,349,0
140,496,350,0
140,496,350,0
139,496,350,0
139,496,350,0
140,496,351,0
140,496,351,0
139,496,351,0
139,496,351,0
139,496,352,0
139,496,352,0
139,495,352,0
139,495,352,0
139,496,352,0
139,496,352,0
139,496,352,0
139,496,352,0
139,496,352,0
139,496,352,0
139,496,352,0
139,496,352,0
139,496,352,0
139,496,352,0
140,496,352,0
140,496,352,0
139,496,355,0
139,496,355,0
139,496,358,0
139,496,358,0
139,496,359,0
139,496,359,0
140,496,359,0
140,496,359,0
140,496,362,0
140,496,362,0
139,496,366,0
139,496,366,0
139,496,370,0
139,496,370,0
139,495,375,0
139,495,375,0
139,496,382,0
139,496,382,0
139,496,391,0
139,496,391,0
140,496,400,0
140,496,400,0
140,496,409,0
140,496,409,0
139,496,417,0
139,496,417,0
140,496,424,0
140,496,424,0
139,496,431,0
139,496,431,0
140,496,438,0
140,496,438,0
140,496,445,0
140,496,445,0
139,496,452,0
139,496,452,0
139,496,458,0
139,496,458,0
139,496,463,0
139,496,463,0
139,496,465,0
139,496,465,0
139,496,467,0
139,496,467,0
139,496,466,0
139,496,466,0
139,496,465,0
139,496,465,0
140,496,465,0
140,496,465,0
139,496,465,0
139,496,465,0
139,496,465,0
139,496,465,0
139,496,465,0
139,496,465,0
139,496,465,0
139,496,460,0
139,496,460,0
139,496,450,0
139,496,450,0
140,496,436,0
140,496,436,0
139,496,421,0
139,496,421,0
139,496,405,0
139,496,405,0
139,496,390,0
139,496,390,0
139,496,373,0
139,496,373,0
139,496,358,0
139,496,358,0
139,496,345,0
139,496,345,0
139,496,332,0
139,496,332,0
139,496,321,0
139,496,321,0
139,496,311,0
139,496,311,0
139,496,302,0
139,496,302,0
139,496,295,0
139,496,295,0
139,496,290,0
139,496,290,0
139,496,284,0
139,496,284,0
139,496,280,0
139,496,280,0
139,496,279,0
139,496,279,0
139,496,280,0
139,496,280,0
139,496,281,0
139,496,281,0
139,496,285,0
139,496,285,0
139,496,292,0
139,496,292,0
139,496,297,0
139,496,297,0
139,496,300,0
139,496,300,0
139,496,305,0
139,496,305,0
139,496,308,0
139,496,308,0
139,496,314,0
139,496,314,0
139,496,319,0
139,496,319,0
139,496,324,0
139,496,324,0
139,496,330,0
139,496,330,0
139,496,334,0
139,496,334,0
139,496,335,0
139,496,335,0
139,496,337,0
139,496,337,0
139,496,337,0
139,496,337,0
139,496,337,0
139,496,337,0
139,496,340,0
139,496,340,0
