RightArm,LeftArm,Torso,Mouth
0,0,0,0
217,497,382,0
218,497,382,0
218,497,382,1833
217,497,382,4090
217,497,382,4090
217,496,381,4090
217,496,381,3797
217,497,382,4090
217,497,382,4090
217,496,381,4090
217,496,381,2497
217,497,382,2497
217,497,382,2525
217,497,381,2733
217,497,381,2975
217,497,381,3049
217,497,381,3049
217,497,382,4090
217,497,382,4090
217,497,382,4090
217,497,382,4090
217,497,382,4090
217,497,382,4090
217,497,382,4090
217,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,4090
218,497,382,3864
218,497,382,3864
218,497,382,2700
218,497,382,1600
218,497,382,1421
218,497,382,721
218,497,382,721
218,497,382,2868
218,497,382,2884
218,497,382,3745
218,497,382,4090
218,497,382,4090
218,497,382,3432
218,497,382,3063
218,497,382,2890
218,497,382,2890
218,497,382,3277
218,497,382,615
218,497,382,0
218,497,382,0
218,497,382,0
218,497,382,1456
217,496,382,1435
217,496,382,1625
218,497,382,1924
218,497,382,2059
217,497,381,2036
217,497,381,2294
217,497,382,1919
217,497,382,1775
218,496,381,1423
218,496,381,1283
217,497,382,752
217,497,382,0
218,496,382,1076
218,496,382,1076
217,497,382,1374
217,497,382,1848
217,496,381,2610
217,496,381,2894
218,497,382,2894
218,497,382,2738
218,496,381,2253
218,496,381,1814
218,497,382,1755
218,497,382,1723
218,496,382,1723
218,496,382,1486
217,496,382,1819
217,496,382,2265
217,496,382,1937
217,496,382,1713
218,497,381,1713
218,497,381,2168
218,497,373,2155
218,497,373,1990
218,496,347,1483
218,496,347,1124
218,497,320,819
218,497,320,819
218,496,307,790
218,496,307,790
218,497,306,937
218,497,306,898
217,496,306,518
217,496,306,408
217,497,307,332
217,497,307,0
217,496,312,0
217,496,312,0
217,497,327,0
217,497,327,0
217,496,351,0
217,496,351,0
217,497,367,0
217,497,367,0
217,497,367,0
217,496,369,0
218,497,371,0
218,497,371,0
217,496,371,0
217,496,371,0
217,496,371,0
218,497,372,930
218,497,372,1063
217,496,371,1063
217,496,371,1139
217,497,371,1207
217,497,371,1396
217,496,370,1336
217,496,370,1421
217,496,370,1236
217,496,370,1165
218,496,370,981
218,496,370,911
217,497,371,911
217,497,371,735
217,496,370,0
217,496,370,388
217,497,370,1279
217,497,370,1730
217,496,370,2252
217,496,370,2351
218,497,371,2374
218,497,371,2456
218,496,370,2342
218,496,370,2232
218,496,370,2064
218,496,370,1770
217,496,370,1985
217,496,370,2589
217,496,370,2712
217,496,370,2088
217,496,370,2580
217,496,370,2528
217,496,370,2303
217,496,370,1882
217,497,370,1852
217,497,370,2005
217,496,370,1969
217,496,370,1924
218,497,371,1903
218,497,371,1739
217,496,370,1792
217,496,370,1359
217,497,371,0
217,497,371,0
217,496,370,1423
217,496,370,1820
217,497,371,1700
217,497,371,1510
218,496,370,1436
218,496,370,1526
217,497,370,1526
217,497,370,1340
217,496,370,1243
217,496,370,1323
217,497,370,1306
217,497,370,1479
217,496,370,0
217,496,370,755
217,496,370,1599
217,496,370,2188
217,496,370,3364
217,496,370,2208
217,497,370,2208
217,497,370,1907
218,496,370,1727
218,496,370,1629
217,496,370,1661
217,496,370,2757
217,496,370,2258
217,496,370,866
218,496,370,866
218,496,370,0
217,496,370,2051
217,496,370,2569
217,496,370,3077
217,496,370,3310
217,496,370,2548
217,496,370,2167
217,496,370,2167
217,496,370,2452
218,496,370,2388
218,496,370,1982
218,496,370,1504
218,496,370,1532
217,496,370,1810
217,496,370,2671
217,496,370,3496
217,496,370,3053
217,497,370,2506
217,497,370,2506
217,496,372,2339
217,496,372,3029
218,497,378,3064
218,497,378,2858
218,496,400,1626
218,496,400,1869
218,497,426,2062
218,497,426,2062
218,496,431,2347
218,496,431,2451
218,497,413,1544
218,497,413,935
217,496,384,567
217,496,384,340
218,497,357,0
218,497,357,0
217,496,347,0
217,496,347,0
217,497,360,0
217,497,360,0
217,496,383,0
217,496,383,0
217,497,397,0
217,497,397,0
217,496,398,0
217,496,398,0
217,497,390,0
217,497,390,0
217,496,371,0
217,496,371,0
218,497,357,680
218,497,357,1106
218,496,354,1107
218,496,354,1232
217,496,358,1232
217,496,358,1376
217,496,358,1396
217,496,360,1375
217,496,360,1249
218,496,358,940
218,496,358,1090
217,496,358,1090
217,496,358,888
217,496,358,745
217,496,358,0
218,497,360,1156
218,497,360,1240
217,496,360,1692
217,496,360,2244
218,497,360,2244
218,497,360,2239
217,496,360,2394
217,496,360,2379
217,497,360,2190
217,497,360,2137
217,496,360,1879
217,496,360,2569
218,497,360,2569
218,497,360,2985
217,496,360,2757
217,496,360,2619
217,497,360,2497
217,497,360,2313
