RightArm,LeftArm,Torso,Mouth
0,0,0,0
147,492,364,0
147,492,364,0
147,491,364,0
147,491,364,0
146,492,364,0
146,492,364,0
146,492,364,0
146,492,364,0
147,492,364,0
147,492,364,0
147,492,364,0
147,492,364,0
146,492,364,0
146,492,364,0
147,492,364,0
147,492,364,0
146,492,364,0
146,492,364,0
146,491,363,0
146,491,363,0
147,492,364,0
147,492,364,0
147,492,364,0
147,492,364,0
147,492,364,0
147,492,364,0
146,492,364,0
146,492,364,0
147,492,364,0
147,492,364,0
147,492,364,0
147,492,364,0
146,492,364,0
146,492,364,0
146,492,363,0
146,492,363,0
146,492,363,0
146,492,363,0
146,492,360,0
146,492,360,0
145,491,360,0
145,491,360,0
146,492,360,0
146,492,360,0
145,492,357,0
145,492,357,0
146,492,351,0
146,492,351,0
145,491,343,0
145,491,343,0
146,492,343,0
146,492,343,0
146,492,343,0
146,491,346,0
146,492,347,0
146,492,347,0
146,492,348,0
146,492,348,0
146,492,348,0
146,492,348,0
146,492,348,0
146,491,348,0
146,491,348,0
146,492,348,0
146,492,348,0
146,492,348,0
146,492,348,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,347,0
146,492,345,0
146,492,345,0
146,492,345,0
146,492,345,0
146,492,345,0
146,492,345,0
146,491,345,0
146,491,345,0
146,492,348,0
146,492,348,0
146,491,348,0
146,491,348,0
146,492,350,0
146,492,350,0
146,491,354,0
146,491,354,0
146,492,367,0
146,492,367,0
146,491,377,0
146,491,377,0
146,492,388,0
146,492,388,0
146,491,397,0
146,491,397,0
146,492,407,0
146,492,407,0
146,491,418,0
146,491,418,0
146,492,432,0
146,492,432,0
146,491,444,0
146,491,444,0
146,492,457,0
146,492,457,0
146,492,472,0
146,492,472,0
146,492,480,0
146,492,480,0
147,492,480,0
147,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,491,480,0
146,491,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,492,480,0
146,491,480,0
146,491,480,0
146,492,480,0
146,492,480,0
146,491,467,0
146,491,467,0
146,492,450,0
146,492,450,0
146,491,435,0
146,491,435,0
146,492,423,0
146,492,423,0
146,492,414,0
146,492,414,0
146,492,407,0
