RightArm,LeftArm,Torso,Mouth
0,0,0,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,488,374,0
144,488,374,0
144,488,374,0
144,488,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,489,374,0
144,488,374,0
144,488,374,0
144,488,374,0
144,488,374,0
144,488,373,0
144,488,373,0
144,489,373,0
144,489,373,0
144,488,373,0
144,488,373,0
144,489,373,0
144,489,373,0
144,488,373,0
144,488,373,0
144,489,373,0
144,489,373,0
144,489,373,0
144,489,373,0
144,489,373,0
144,489,373,0
144,489,373,0
144,489,373,0
144,488,373,0
144,488,373,0
144,488,374,0
144,488,374,0
144,489,375,0
144,489,375,0
144,489,375,0
144,489,375,0
144,488,378,0
144,488,378,0
144,489,385,0
144,489,385,0
144,488,397,0
144,488,397,0
144,489,411,0
144,489,411,0
144,488,425,0
144,488,425,0
144,489,438,0
144,489,438,0
144,488,452,0
144,488,452,0
144,489,465,0
144,489,465,0
144,488,475,0
144,488,475,0
144,488,481,0
144,488,481,0
144,488,480,0
144,488,480,0
144,488,481,0
144,488,481,0
144,488,480,0
144,488,480,0
144,489,481,0
144,489,481,0
144,488,481,0
144,488,481,0
144,489,481,0
144,489,481,0
144,489,481,0
144,489,481,0
144,488,481,0
144,488,481,0
144,489,481,0
144,489,481,0
144,488,481,0
144,488,481,0
144,489,481,0
144,489,481,0
144,488,480,0
144,488,480,0
144,489,468,0
144,489,468,0
144,488,450,0
144,488,450,0
144,489,432,0
144,489,432,0
144,488,412,0
144,488,412,0
144,489,394,0
144,489,394,0
144,488,375,0
144,488,375,0
144,489,360,0
144,489,360,0
144,488,345,0
144,488,345,0
144,489,332,0
144,489,332,0
144,488,320,0
144,488,320,0
144,489,308,0
144,489,308,0
144,488,297,0
144,488,297,0
144,489,286,0
144,489,286,0
144,488,275,0
144,488,275,0
144,489,267,0
144,489,267,0
144,488,263,0
144,488,263,0
144,488,263,0
144,488,258,0
144,488,258,0
144,488,251,0
144,488,251,0
144,488,246,0
144,488,246,0
144,489,244,0
144,489,244,0
144,488,244,0
144,488,244,0
144,488,245,0
144,488,245,0
144,488,246,0
144,488,246,0
144,488,248,0
144,488,248,0
144,488,256,0
144,488,256,0
144,488,267,0
144,488,267,0
144,488,278,0
144,488,278,0
144,488,287,0
144,488,287,0
144,488,297,0
144,488,297,0
144,488,306,0
144,488,306,0
144,488,316,0
144,488,316,0
144,489,327,0
144,489,327,0
144,488,337,0
144,488,337,0
144,488,350,0
144,488,350,0
144,488,361,0
144,488,361,0
144,488,371,0
144,488,371,0
144,488,378,0
144,488,378,0
144,489,379,0
144,489,379,0
144,488,377,0
144,488,377,0
144,489,377,0
144,489,377,0
144,488,376,0
144,488,376,0
144,488,376,0
144,488,376,0
144,488,377,1662
144,488,377,1922
144,489,377,2264
144,489,377,2264
144,488,377,2001
144,488,377,1719
144,488,376,2018
144,488,376,2326
144,489,377,2702
144,489,377,2746
144,488,376,3901
144,488,376,3603
144,489,377,2857
144,489,377,3392
144,488,376,3392
144,488,376,3912
144,488,376,3140
144,488,376,1573
144,489,377,1682
144,489,377,1239
144,488,377,1125
144,488,377,753
144,488,376,753
144,488,376,740
144,488,376,1012
144,488,376,2632
144,488,376,2502
144,488,376,2525
144,489,377,1227
144,489,377,1227
144,488,376,799
144,488,376,1170
144,488,376,1591
144,488,376,2898
144,488,376,3046
144,488,376,3043
144,488,377,3249
144,488,377,3337
144,488,377,3337
144,488,377,2880
142,483,375,2549
142,483,375,2553
137,468,375,2753
137,468,375,2596
135,439,374,1987
135,439,374,2844
136,394,373,2844
136,394,373,1891
136,347,375,2981
136,347,375,2150
135,309,375,2376
135,309,375,2244
136,281,375,2418
136,281,375,2059
136,266,375,2059
136,266,375,1847
135,261,375,2846
135,261,375,2045
136,262,375,2538
136,262,375,1981
136,261,375,2247
136,261,375,2020
136,261,375,1845
136,261,375,2449
136,261,374,2449
136,261,374,2113
136,261,374,1886
136,261,374,2314
136,262,374,1854
136,262,374,1843
136,263,374,2179
136,263,374,2045
136,273,374,2256
