RightArm,LeftArm,Torso,Mouth
0,0,0,0
134,496,347,0
134,496,347,0
135,496,347,0
135,496,347,0
135,495,347,0
135,495,347,0
135,496,347,0
135,496,347,0
135,495,347,0
135,495,347,0
135,496,347,0
135,496,347,0
134,495,347,0
134,495,347,0
135,496,347,0
135,496,347,0
135,495,347,0
135,495,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
134,496,347,0
134,496,347,0
134,496,347,0
134,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
134,496,347,0
134,496,347,0
135,496,347,0
135,496,347,0
134,496,347,0
134,496,347,0
134,496,347,0
134,496,347,0
134,495,347,0
134,495,347,0
134,496,347,0
134,496,347,0
135,495,347,0
135,495,347,0
134,496,347,0
134,496,347,0
135,495,347,0
135,495,347,0
135,496,347,0
135,496,347,0
135,495,347,0
135,495,347,0
135,496,347,0
135,496,347,0
135,495,347,0
135,495,347,0
135,496,347,0
135,496,347,0
134,495,347,0
134,495,347,0
134,496,347,0
134,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,495,347,0
135,495,347,0
135,495,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,495,347,0
135,495,347,0
135,496,347,0
135,496,347,0
135,496,348,0
135,496,348,0
135,496,349,0
135,496,349,0
135,495,350,0
135,495,350,0
135,496,351,0
135,496,351,0
135,495,353,0
135,495,353,0
135,496,364,0
135,496,364,0
134,495,373,0
134,495,373,0
135,496,382,0
135,496,382,0
134,495,388,0
134,495,388,0
135,496,395,0
135,496,395,0
134,495,403,0
134,495,403,0
135,496,414,0
135,496,414,0
135,495,426,0
135,495,426,0
135,496,437,0
135,496,437,0
135,496,446,0
135,496,446,0
135,496,455,0
135,496,455,0
135,495,464,0
135,495,464,0
134,496,472,0
134,496,472,0
135,496,478,0
135,496,478,0
135,496,480,0
135,496,480,0
135,496,480,0
135,496,480,0
135,495,480,0
135,495,480,0
135,496,480,0
135,496,480,0
135,496,480,0
135,496,480,0
135,496,480,0
135,496,480,0
135,496,480,0
135,496,480,0
135,496,480,0
135,496,480,0
135,495,480,0
135,495,480,0
135,496,480,0
135,496,480,0
135,495,480,0
135,495,480,0
135,496,480,0
135,496,480,0
134,495,480,0
134,495,480,0
135,496,480,0
135,496,480,0
135,495,480,0
135,495,480,0
135,496,480,0
135,496,480,0
134,496,467,0
134,496,467,0
135,496,452,0
135,496,452,0
134,495,435,0
134,495,435,0
135,496,422,0
135,496,422,0
135,496,408,0
135,496,408,0
134,496,395,0
134,496,395,0
135,496,381,0
135,496,381,0
135,496,366,0
135,496,366,0
135,496,348,0
135,496,348,0
135,496,333,0
135,496,333,0
134,496,320,0
134,496,320,0
134,496,307,0
134,496,307,0
134,496,295,0
134,496,295,0
134,495,285,0
134,495,285,0
135,496,277,0
135,496,277,0
134,496,271,0
134,496,271,0
134,496,269,0
134,496,269,0
135,495,268,0
135,495,268,0
135,496,268,0
135,496,268,0
134,495,268,0
134,495,268,0
134,496,268,0
134,496,268,0
135,495,269,0
135,495,269,0
134,496,270,0
134,496,270,0
134,495,271,0
134,495,271,0
134,496,275,0
134,496,275,0
134,496,275,0
135,496,285,0
135,496,297,0
135,496,297,0
135,496,297,0
135,495,307,0
135,495,307,0
135,496,317,0
135,496,317,0
134,495,327,0
134,495,327,0
135,496,336,0
135,496,336,0
135,496,343,0
135,496,343,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,347,0
135,496,346,0
135,496,346,0
134,496,347,0
134,496,347,0
135,495,347,603
135,495,347,1445
135,496,348,2093
135,496,348,2093
134,496,350,2085
134,496,350,1690
135,496,352,1692
135,496,352,2046
135,495,352,2508
135,495,352,2725
135,496,352,2725
135,496,352,3077
135,495,350,3394
135,495,350,3052
135,496,350,2836
135,496,350,3868
134,495,349,1464
134,495,349,1464
135,496,349,1396
135,496,349,1612
135,495,349,1215
135,495,349,724
135,496,349,714
135,496,349,718
135,495,349,682
135,495,349,682
135,496,349,2319
135,496,349,2374
134,496,349,2420
134,496,349,1546
134,496,349,833
134,496,349,1178
135,496,349,1178
135,496,349,1273
135,496,349,2573
135,496,349,2868
135,496,349,2877
135,496,349,3116
135,496,349,3145
135,496,349,2856
135,496,349,2428
135,496,349,2428
134,496,349,2531
134,496,349,2680
135,496,349,2485
135,496,349,1928
135,496,349,2967
135,496,349,1830
134,496,349,2860
134,496,349,2860
135,496,349,2026
135,496,349,1974
135,496,349,2031
135,496,349,2333
135,495,349,2021
135,495,349,1974
135,496,349,1974
135,496,349,2634
135,495,349,2024
135,495,349,2487
134,496,349,1827
134,496,349,2040
134,496,349,1604
134,496,349,1769
135,496,349,2129
135,496,349,2129
135,496,349,1609
135,496,349,2170
135,496,349,2172
135,496,349,1784
135,496,349,1964
135,496,349,2097
135,496,349,2097
135,496,349,1801
134,495,349,2704
134,495,349,2075
134,496,349,2483
134,496,349,2172
134,496,349,1879
134,496,349,1879
135,496,349,2242
135,496,349,2192
135,496,349,1628
135,496,349,2017
135,496,349,1832
135,496,349,1971
135,496,349,1971
135,496,349,1733
135,496,349,1270
135,496,349,2270
134,496,349,1303
134,496,349,750
135,496,349,647
135,496,349,647
134,496,349,447
134,496,349,382
134,496,349,301
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,495,349,0
135,495,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,495,349,0
135,495,349,0
135,495,349,0
134,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
134,495,349,0
134,495,349,0
134,496,349,335
134,496,349,590
134,495,349,714
134,495,349,495
134,496,349,660
134,496,349,849
135,496,349,849
135,496,349,680
135,496,349,630
135,496,349,656
134,496,349,615
134,496,349,680
135,495,349,680
135,495,349,855
135,496,349,811
135,496,349,549
135,496,349,310
135,496,349,753
135,496,349,780
135,496,349,793
135,495,349,793
135,495,349,696
134,496,349,659
134,496,349,692
135,495,349,896
135,495,349,920
135,496,349,875
135,496,349,875
135,496,349,913
135,496,349,1127
135,496,349,1431
135,496,349,1530
134,495,349,1199
134,495,349,1254
134,496,349,1712
134,496,349,1712
134,495,349,2046
134,495,349,1867
135,496,349,1466
135,496,349,1284
135,495,349,1463
135,495,349,1740
134,496,349,1604
134,496,349,1604
135,495,349,1618
135,495,349,1631
135,496,349,1219
135,496,349,1371
135,496,349,1067
135,496,349,1482
135,496,349,1743
135,496,349,1327
134,495,349,1180
134,495,349,1180
135,496,349,1534
135,496,349,1550
135,496,349,1474
135,496,349,1080
134,496,349,1297
134,496,349,1581
135,496,349,1581
135,496,349,1429
135,496,349,1192
135,496,349,947
135,496,349,1155
135,496,349,1384
134,496,349,897
134,496,349,897
134,496,349,1105
134,496,349,1197
135,496,349,1523
135,496,349,1888
135,496,349,1303
135,496,349,1401
135,495,349,1401
135,495,349,1085
135,496,349,1775
135,496,349,1447
134,495,349,1213
134,495,349,1151
135,496,349,546
135,496,349,1385
135,495,349,1033
135,495,349,1033
135,496,349,1006
135,496,349,596
135,495,349,392
135,495,349,0
135,496,349,474
135,496,349,341
135,495,349,319
135,495,349,319
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,495,349,0
135,495,349,0
135,496,349,0
135,496,349,0
135,495,349,1957
135,495,349,1795
135,495,349,2591
135,496,349,2427
135,496,349,2427
135,496,349,2421
135,496,349,2421
134,496,349,2509
134,496,349,2129
135,496,349,940
135,496,349,1084
135,496,349,632
135,496,349,632
135,496,349,813
135,496,349,1351
134,496,349,1150
134,496,349,1115
135,495,349,1167
135,495,349,692
135,496,349,542
135,496,349,542
135,496,349,570
135,496,349,1031
134,496,349,1391
134,496,349,1190
135,496,349,490
135,496,349,439
135,496,349,439
135,496,349,432
134,496,349,1370
134,496,349,2550
135,496,349,1798
135,496,349,1427
134,496,349,770
134,496,349,894
135,496,349,894
135,496,349,844
135,496,349,797
135,496,349,689
135,496,349,864
135,496,349,1123
135,496,349,1038
135,496,349,1086
135,496,349,787
135,496,349,787
134,496,349,870
134,496,349,910
135,495,349,801
135,495,349,897
134,496,349,986
134,496,349,856
135,496,349,787
135,496,349,941
135,496,349,1232
135,496,349,805
134,496,349,1132
134,496,349,770
134,496,349,1023
134,496,349,629
135,495,349,857
135,495,349,1309
134,496,349,904
134,496,349,1015
134,496,349,1153
134,496,349,1103
135,496,349,1103
135,496,349,1024
135,496,349,994
135,496,349,1323
134,496,349,1364
134,496,349,1210
135,496,349,1352
135,496,349,1092
135,496,349,931
135,496,349,1038
135,496,349,1156
135,496,349,868
134,496,349,868
134,496,349,1138
135,496,349,1394
135,496,349,867
135,495,349,1082
135,495,349,661
134,496,349,837
134,496,349,609
135,496,349,533
135,496,349,543
134,496,349,369
134,496,349,615
134,496,349,502
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,495,349,0
135,495,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
135,496,349,0
135,496,349,0
135,495,349,0
135,495,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,308
135,495,349,2012
135,495,349,2012
134,496,349,2093
134,496,349,1196
135,496,349,841
135,496,349,551
135,496,349,547
135,496,349,547
135,496,349,791
135,496,349,1818
134,496,349,2498
134,496,349,2418
134,496,349,2164
135,496,349,1124
135,496,349,711
135,496,349,661
135,496,349,759
135,496,349,813
135,496,349,813
135,496,349,1138
135,496,349,1156
135,496,349,1388
135,496,349,726
135,496,349,1062
135,496,349,1062
135,496,349,859
135,496,349,788
135,496,348,786
135,496,348,928
135,496,349,969
135,496,349,1070
135,496,349,1684
135,496,349,1517
135,496,349,1517
135,496,349,1415
134,496,349,1269
134,496,349,1181
135,496,349,955
135,496,349,664
135,495,349,545
135,495,349,545
135,496,349,416
135,496,349,1145
134,495,349,1265
134,495,349,1405
135,496,349,1423
135,496,349,770
135,496,349,499
135,496,349,499
135,496,349,363
135,496,349,587
135,496,349,1500
135,496,349,2098
135,496,349,1966
135,496,349,2199
135,496,349,1858
135,496,349,1858
135,496,349,1939
135,496,349,1704
134,496,349,1930
134,496,349,1861
134,496,349,1557
134,496,349,1040
135,496,349,1040
135,496,349,611
134,495,349,1044
134,495,349,1330
135,496,349,1106
135,496,349,1089
135,496,349,913
135,496,349,1075
135,496,349,957
135,496,349,957
134,496,349,1128
134,496,349,1161
135,496,349,1172
135,496,349,1411
135,496,349,1341
135,496,349,1181
135,496,349,1081
135,496,349,1028
134,495,349,1307
134,495,349,1307
134,496,349,1342
134,496,349,1319
135,495,349,1194
135,495,349,1210
134,496,349,1330
134,496,349,1395
135,496,349,1091
135,496,349,1091
134,496,349,1392
134,496,349,1156
135,495,349,1309
135,495,349,1085
134,496,349,1081
134,496,349,1459
135,496,349,1509
135,496,349,1435
135,496,349,1329
135,496,349,1329
135,496,349,927
135,496,349,792
135,496,349,875
135,496,349,699
134,496,349,594
134,496,349,530
135,496,349,464
135,496,349,440
135,496,349,0
135,496,349,0
135,495,349,0
135,495,349,0
135,496,349,0
135,496,349,0
135,495,349,0
135,495,349,0
134,496,349,0
134,496,349,0
135,495,349,0
135,495,349,0
135,496,349,0
135,496,349,0
135,495,349,0
135,495,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,1564
135,496,349,1725
135,496,349,2015
135,496,349,2183
135,496,349,1863
135,496,349,3220
135,496,349,3433
135,496,349,3243
135,496,349,2164
134,496,349,2164
134,496,349,2935
135,496,349,3334
135,496,349,2982
135,496,349,3964
135,496,349,4090
134,496,349,2074
134,496,349,2074
135,495,349,1945
135,495,349,1234
134,496,349,1430
134,496,349,1112
135,496,349,1020
135,496,349,732
135,496,349,732
135,496,349,674
135,496,349,1695
135,496,349,1845
135,496,349,1957
135,496,349,1753
135,496,349,2080
135,496,349,968
135,496,349,708
135,496,349,783
135,495,349,783
135,495,349,2129
135,496,349,2910
135,496,349,2788
134,496,349,2475
134,496,349,3388
135,496,349,3426
135,496,349,3776
135,496,349,2016
135,496,349,2749
135,496,349,2749
135,496,349,2277
134,496,349,2513
134,496,349,2706
134,496,349,2247
134,496,349,1624
135,496,349,1518
135,496,349,2337
135,496,349,3011
135,496,349,3011
134,496,349,2457
134,496,349,2230
135,496,349,1984
135,496,349,1644
134,496,349,1254
134,496,349,1977
135,496,349,1977
135,496,349,2283
135,496,349,2239
135,496,349,1923
134,495,349,2043
134,495,349,2372
135,496,349,2305
135,496,349,2088
135,496,349,1904
135,496,349,1342
135,496,349,1909
135,496,349,1894
134,495,349,1894
134,495,349,2041
135,496,349,1879
135,496,349,1189
135,495,349,1460
135,495,349,1518
135,496,349,1272
135,496,349,1272
134,496,349,2137
134,496,349,1915
135,496,349,1557
135,496,349,1616
135,495,349,1528
135,495,349,1529
135,496,349,1563
135,496,349,1563
135,496,349,1522
135,496,349,1128
135,496,349,1645
135,496,349,1286
135,496,349,1120
135,496,349,1613
135,496,349,1346
135,496,349,708
135,495,349,708
135,495,349,792
135,496,349,812
135,496,349,636
134,496,349,306
134,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
134,495,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
134,496,349,426
134,496,349,664
135,496,349,664
135,496,349,821
135,496,349,741
135,496,349,702
135,496,349,499
135,496,349,854
135,496,349,710
135,496,349,710
134,495,349,963
134,495,349,644
135,496,349,537
135,496,349,724
135,496,349,773
135,496,349,687
135,496,349,687
135,496,349,0
135,496,349,656
135,496,349,794
135,496,349,675
135,496,349,819
135,495,349,695
135,495,349,711
135,496,349,711
135,496,349,739
134,496,349,945
134,496,349,856
135,496,349,870
135,496,349,683
135,496,349,872
135,496,349,1107
134,495,349,906
134,495,349,855
134,496,349,655
134,496,349,1095
135,496,349,1737
135,496,349,1498
134,496,349,1584
134,496,349,1257
135,496,349,1401
135,496,349,1401
134,496,349,1371
134,496,349,1490
134,495,349,1444
134,495,349,1626
135,496,349,1491
135,496,349,1571
135,496,349,1760
135,496,349,1670
134,496,349,1670
134,496,349,1609
135,495,349,1521
135,495,349,1826
135,496,349,2100
135,496,349,2053
135,495,349,1570
135,495,349,1480
135,496,349,1480
135,496,349,1611
135,496,349,1640
135,496,349,1336
135,496,349,1683
135,496,349,1985
135,496,349,1893
135,496,349,1496
135,496,349,1496
135,496,349,1392
134,495,349,1536
134,495,349,1544
135,496,349,1718
135,496,349,1848
135,496,349,2098
135,496,349,2098
135,496,349,1937
135,496,349,1740
135,496,349,1560
135,496,349,1155
135,496,349,985
135,496,349,968
135,496,349,1208
135,496,349,1208
134,496,349,1452
134,496,349,1550
134,496,349,1558
134,496,349,1180
135,496,349,1249
135,496,349,1332
135,496,349,786
135,496,349,786
135,496,349,535
135,496,349,304
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,495,348,0
134,495,348,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,478
134,496,349,2192
134,496,349,1731
134,496,349,1731
134,496,349,1460
134,496,349,2120
135,496,349,1007
135,496,349,1506
135,496,349,1875
135,496,349,1362
135,496,349,1099
135,496,349,1099
135,495,349,669
135,495,349,694
135,496,349,316
135,496,349,340
134,495,349,630
134,495,349,929
134,496,349,1295
134,496,349,1021
135,495,349,1008
135,495,349,1008
135,496,349,1174
135,496,349,1534
135,496,349,1821
135,496,349,1714
135,496,349,1783
135,496,349,1092
135,496,349,791
135,496,349,746
134,496,349,746
134,496,349,851
135,495,349,466
135,495,349,652
135,496,349,1778
135,496,349,1973
135,496,349,2072
135,496,349,2255
135,496,349,2061
135,496,349,1273
134,496,349,1273
134,496,349,1462
135,496,349,1876
135,496,349,1151
135,496,349,1776
135,496,349,1518
135,496,349,2179
135,496,349,1615
134,496,349,2181
134,496,349,1836
135,496,349,1836
135,496,349,1632
135,496,349,1322
135,496,349,1951
134,495,349,1884
134,495,349,1431
134,496,349,2720
134,496,349,2446
134,495,349,1197
134,495,349,1197
134,496,349,1172
134,496,349,1856
135,496,349,2375
135,496,349,2436
134,496,349,2097
134,496,349,1115
134,496,349,1029
134,496,349,1029
134,496,349,1013
134,496,349,1679
134,496,349,1901
135,495,349,894
135,495,349,1304
135,496,349,1847
135,496,349,1929
135,496,349,1929
135,496,349,1716
135,496,349,1142
135,496,349,1385
135,496,349,1195
135,496,349,1495
135,496,349,1346
135,496,349,1346
134,495,349,840
134,495,349,826
135,496,349,1145
135,496,349,859
135,495,349,942
135,495,349,596
135,496,349,550
135,496,349,395
134,496,349,395
134,496,349,0
135,496,349,360
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,495,349,0
135,495,349,0
134,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
134,495,349,0
134,495,349,0
134,496,349,0
134,496,349,0
135,496,349,0
135,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
134,496,349,0
135,495,349,0
135,495,349,0
134,496,349,0
